date,location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
2022-03-13,USA,Delta,0.83052844,0.83052844,0.83052844,0.83052844,0.83052844,0.83052844,0.83052844
2022-03-14,USA,Delta,0.83073324,0.83073324,0.83073324,0.83073324,0.83073324,0.83073324,0.83073324
2022-03-15,USA,Delta,0.8308825,0.8308825,0.8308825,0.8308825,0.8308825,0.8308825,0.8308825
2022-03-16,USA,Delta,0.83098364,0.83098364,0.83098364,0.83098364,0.83098364,0.83098364,0.83098364
2022-03-17,USA,Delta,0.83104414,0.83104414,0.83104414,0.83104414,0.83104414,0.83104414,0.83104414
2022-03-18,USA,Delta,0.83107156,0.83107156,0.83107156,0.83107156,0.83107156,0.83107156,0.83107156
2022-03-19,USA,Delta,0.83107346,0.83107346,0.83107346,0.83107346,0.83107346,0.83107346,0.83107346
2022-03-20,USA,Delta,0.8310572,0.8310572,0.8310572,0.8310572,0.8310572,0.8310572,0.8310572
2022-03-21,USA,Delta,0.8310305,0.8310305,0.8310305,0.8310305,0.8310305,0.8310305,0.8310305
2022-03-22,USA,Delta,0.8310008,0.8310008,0.8310008,0.8310008,0.8310008,0.8310008,0.8310008
2022-03-23,USA,Delta,0.83097565,0.83097565,0.83097565,0.83097565,0.83097565,0.83097565,0.83097565
2022-03-24,USA,Delta,0.8309625,0.8309625,0.8309625,0.8309625,0.8309625,0.8309625,0.8309625
2022-03-25,USA,Delta,0.8309687,0.8309687,0.8309687,0.8309687,0.8309687,0.8309687,0.8309687
2022-03-26,USA,Delta,0.83099633,0.83099633,0.83099633,0.83099633,0.83099633,0.83099633,0.83099633
2022-03-27,USA,Delta,0.8310411,0.8310411,0.8310411,0.8310411,0.8310411,0.8310411,0.8310411
2022-03-28,USA,Delta,0.8310984,0.8310984,0.8310984,0.8310984,0.8310984,0.8310984,0.8310984
2022-03-29,USA,Delta,0.83116364,0.83116364,0.83116364,0.83116364,0.83116364,0.83116364,0.83116364
2022-03-30,USA,Delta,0.83123237,0.83123237,0.83123237,0.83123237,0.83123237,0.83123237,0.83123237
2022-03-31,USA,Delta,0.8312999,0.8312999,0.8312999,0.8312999,0.8312999,0.8312999,0.8312999
2022-04-01,USA,Delta,0.8313617,0.8313617,0.8313617,0.8313617,0.8313617,0.8313617,0.8313617
2022-04-02,USA,Delta,0.83141315,0.83141315,0.83141315,0.83141315,0.83141315,0.83141315,0.83141315
2022-04-03,USA,Delta,0.8314497,0.8314497,0.8314497,0.8314497,0.8314497,0.8314497,0.8314497
2022-04-04,USA,Delta,0.83146673,0.83146673,0.83146673,0.83146673,0.83146673,0.83146673,0.83146673
2022-04-05,USA,Delta,0.83145976,0.83145976,0.83145976,0.83145976,0.83145976,0.83145976,0.83145976
2022-04-06,USA,Delta,0.83142513,0.83142513,0.83142513,0.83142513,0.83142513,0.83142513,0.83142513
