date,location,variant,median_ga,ga_upper_95,ga_lower_95,ga_upper_80,ga_lower_80,ga_upper_50,ga_lower_50
2022-01-09,United Kingdom,Delta,0.4450092,0.4450092,0.4450092,0.4450092,0.4450092,0.4450092,0.4450092
2022-01-10,United Kingdom,Delta,0.4451528,0.4451528,0.4451528,0.4451528,0.4451528,0.4451528,0.4451528
2022-01-11,United Kingdom,Delta,0.44525483,0.44525483,0.44525483,0.44525483,0.44525483,0.44525483,0.44525483
2022-01-12,United Kingdom,Delta,0.4453205,0.4453205,0.4453205,0.4453205,0.4453205,0.4453205,0.4453205
2022-01-13,United Kingdom,Delta,0.44535506,0.44535506,0.44535506,0.44535506,0.44535506,0.44535506,0.44535506
2022-01-14,United Kingdom,Delta,0.44536376,0.44536376,0.44536376,0.44536376,0.44536376,0.44536376,0.44536376
2022-01-15,United Kingdom,Delta,0.44535202,0.44535202,0.44535202,0.44535202,0.44535202,0.44535202,0.44535202
2022-01-16,United Kingdom,Delta,0.44532493,0.44532493,0.44532493,0.44532493,0.44532493,0.44532493,0.44532493
2022-01-17,United Kingdom,Delta,0.445288,0.445288,0.445288,0.445288,0.445288,0.445288,0.445288
2022-01-18,United Kingdom,Delta,0.44524634,0.44524634,0.44524634,0.44524634,0.44524634,0.44524634,0.44524634
2022-01-19,United Kingdom,Delta,0.44520533,0.44520533,0.44520533,0.44520533,0.44520533,0.44520533,0.44520533
2022-01-20,United Kingdom,Delta,0.44517022,0.44517022,0.44517022,0.44517022,0.44517022,0.44517022,0.44517022
2022-01-21,United Kingdom,Delta,0.4451461,0.4451461,0.4451461,0.4451461,0.4451461,0.4451461,0.4451461
2022-01-22,United Kingdom,Delta,0.4451351,0.4451351,0.4451351,0.4451351,0.4451351,0.4451351,0.4451351
2022-01-23,United Kingdom,Delta,0.44513538,0.44513538,0.44513538,0.44513538,0.44513538,0.44513538,0.44513538
2022-01-24,United Kingdom,Delta,0.44514495,0.44514495,0.44514495,0.44514495,0.44514495,0.44514495,0.44514495
2022-01-25,United Kingdom,Delta,0.445162,0.445162,0.445162,0.445162,0.445162,0.445162,0.445162
2022-01-26,United Kingdom,Delta,0.44518444,0.44518444,0.44518444,0.44518444,0.44518444,0.44518444,0.44518444
2022-01-27,United Kingdom,Delta,0.4452104,0.4452104,0.4452104,0.4452104,0.4452104,0.4452104,0.4452104
2022-01-28,United Kingdom,Delta,0.44523793,0.44523793,0.44523793,0.44523793,0.44523793,0.44523793,0.44523793
2022-01-29,United Kingdom,Delta,0.44526505,0.44526505,0.44526505,0.44526505,0.44526505,0.44526505,0.44526505
2022-01-30,United Kingdom,Delta,0.4452898,0.4452898,0.4452898,0.4452898,0.4452898,0.4452898,0.4452898
2022-01-31,United Kingdom,Delta,0.4453103,0.4453103,0.4453103,0.4453103,0.4453103,0.4453103,0.4453103
