date,location,variant,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-04-09,Australia,Delta,2.976897e-08,2.976897e-08,2.976897e-08,2.976897e-08,2.976897e-08,2.976897e-08,2.976897e-08
2022-04-10,Australia,Delta,2.4099307e-08,2.4099307e-08,2.4099307e-08,2.4099307e-08,2.4099307e-08,2.4099307e-08,2.4099307e-08
2022-04-11,Australia,Delta,1.9504343e-08,1.9504343e-08,1.9504343e-08,1.9504343e-08,1.9504343e-08,1.9504343e-08,1.9504343e-08
2022-04-12,Australia,Delta,1.578169e-08,1.578169e-08,1.578169e-08,1.578169e-08,1.578169e-08,1.578169e-08,1.578169e-08
2022-04-13,Australia,Delta,1.2766735e-08,1.2766735e-08,1.2766735e-08,1.2766735e-08,1.2766735e-08,1.2766735e-08,1.2766735e-08
2022-04-14,Australia,Delta,1.0325672e-08,1.0325672e-08,1.0325672e-08,1.0325672e-08,1.0325672e-08,1.0325672e-08,1.0325672e-08
2022-04-15,Australia,Delta,8.3498035e-09,8.3498035e-09,8.3498035e-09,8.3498035e-09,8.3498035e-09,8.3498035e-09,8.3498035e-09
2022-04-16,Australia,Delta,6.750881e-09,6.750881e-09,6.750881e-09,6.750881e-09,6.750881e-09,6.750881e-09,6.750881e-09
2022-04-17,Australia,Delta,5.4572915e-09,5.4572915e-09,5.4572915e-09,5.4572915e-09,5.4572915e-09,5.4572915e-09,5.4572915e-09
2022-04-18,Australia,Delta,4.4109485e-09,4.4109485e-09,4.4109485e-09,4.4109485e-09,4.4109485e-09,4.4109485e-09,4.4109485e-09
2022-04-19,Australia,Delta,3.5647598e-09,3.5647598e-09,3.5647598e-09,3.5647598e-09,3.5647598e-09,3.5647598e-09,3.5647598e-09
2022-04-20,Australia,Delta,2.8805645e-09,2.8805645e-09,2.8805645e-09,2.8805645e-09,2.8805645e-09,2.8805645e-09,2.8805645e-09
2022-04-21,Australia,Delta,2.3274305e-09,2.3274305e-09,2.3274305e-09,2.3274305e-09,2.3274305e-09,2.3274305e-09,2.3274305e-09
2022-04-22,Australia,Delta,1.8803235e-09,1.8803235e-09,1.8803235e-09,1.8803235e-09,1.8803235e-09,1.8803235e-09,1.8803235e-09
2022-04-23,Australia,Delta,1.5189685e-09,1.5189685e-09,1.5189685e-09,1.5189685e-09,1.5189685e-09,1.5189685e-09,1.5189685e-09
2022-04-24,Australia,Delta,1.2269553e-09,1.2269553e-09,1.2269553e-09,1.2269553e-09,1.2269553e-09,1.2269553e-09,1.2269553e-09
2022-04-25,Australia,Delta,9.910044e-10,9.910044e-10,9.910044e-10,9.910044e-10,9.910044e-10,9.910044e-10,9.910044e-10
2022-04-26,Australia,Delta,8.0037255e-10,8.0037255e-10,8.0037255e-10,8.0037255e-10,8.0037255e-10,8.0037255e-10,8.0037255e-10
2022-04-27,Australia,Delta,6.4636985e-10,6.4636985e-10,6.4636985e-10,6.4636985e-10,6.4636985e-10,6.4636985e-10,6.4636985e-10
2022-04-28,Australia,Delta,5.219689e-10,5.219689e-10,5.219689e-10,5.219689e-10,5.219689e-10,5.219689e-10,5.219689e-10
2022-04-29,Australia,Delta,4.2148787e-10,4.2148787e-10,4.2148787e-10,4.2148787e-10,4.2148787e-10,4.2148787e-10,4.2148787e-10
2022-04-30,Australia,Delta,3.4033326e-10,3.4033326e-10,3.4033326e-10,3.4033326e-10,3.4033326e-10,3.4033326e-10,3.4033326e-10
2022-05-01,Australia,Delta,2.7479216e-10,2.7479216e-10,2.7479216e-10,2.7479216e-10,2.7479216e-10,2.7479216e-10,2.7479216e-10
2022-05-02,Australia,Delta,2.2186392e-10,2.2186392e-10,2.2186392e-10,2.2186392e-10,2.2186392e-10,2.2186392e-10,2.2186392e-10
2022-05-03,Australia,Delta,1.7912358e-10,1.7912358e-10,1.7912358e-10,1.7912358e-10,1.7912358e-10,1.7912358e-10,1.7912358e-10
2022-05-04,Australia,Delta,1.4461195e-10,1.4461195e-10,1.4461195e-10,1.4461195e-10,1.4461195e-10,1.4461195e-10,1.4461195e-10
2022-05-05,Australia,Delta,1.16746e-10,1.16746e-10,1.16746e-10,1.16746e-10,1.16746e-10,1.16746e-10,1.16746e-10
2022-05-06,Australia,Delta,9.424701e-11,9.424701e-11,9.424701e-11,9.424701e-11,9.424701e-11,9.424701e-11,9.424701e-11
2022-04-09,Australia,Omicron 21K,0.03392231,0.03392231,0.03392231,0.03392231,0.03392231,0.03392231,0.03392231
2022-04-10,Australia,Omicron 21K,0.031015111,0.031015111,0.031015111,0.031015111,0.031015111,0.031015111,0.031015111
2022-04-11,Australia,Omicron 21K,0.02834962,0.02834962,0.02834962,0.02834962,0.02834962,0.02834962,0.02834962
2022-04-12,Australia,Omicron 21K,0.025906965,0.025906965,0.025906965,0.025906965,0.025906965,0.025906965,0.025906965
2022-04-13,Australia,Omicron 21K,0.023669552,0.023669552,0.023669552,0.023669552,0.023669552,0.023669552,0.023669552
2022-04-14,Australia,Omicron 21K,0.021620993,0.021620993,0.021620993,0.021620993,0.021620993,0.021620993,0.021620993
2022-04-15,Australia,Omicron 21K,0.01974607,0.01974607,0.01974607,0.01974607,0.01974607,0.01974607,0.01974607
2022-04-16,Australia,Omicron 21K,0.018030677,0.018030677,0.018030677,0.018030677,0.018030677,0.018030677,0.018030677
2022-04-17,Australia,Omicron 21K,0.016461745,0.016461745,0.016461745,0.016461745,0.016461745,0.016461745,0.016461745
2022-04-18,Australia,Omicron 21K,0.015027192,0.015027192,0.015027192,0.015027192,0.015027192,0.015027192,0.015027192
2022-04-19,Australia,Omicron 21K,0.013715867,0.013715867,0.013715867,0.013715867,0.013715867,0.013715867,0.013715867
2022-04-20,Australia,Omicron 21K,0.012517479,0.012517479,0.012517479,0.012517479,0.012517479,0.012517479,0.012517479
2022-04-21,Australia,Omicron 21K,0.011422552,0.011422552,0.011422552,0.011422552,0.011422552,0.011422552,0.011422552
2022-04-22,Australia,Omicron 21K,0.010422361,0.010422361,0.010422361,0.010422361,0.010422361,0.010422361,0.010422361
2022-04-23,Australia,Omicron 21K,0.009508882,0.009508882,0.009508882,0.009508882,0.009508882,0.009508882,0.009508882
2022-04-24,Australia,Omicron 21K,0.008674742,0.008674742,0.008674742,0.008674742,0.008674742,0.008674742,0.008674742
2022-04-25,Australia,Omicron 21K,0.007913171,0.007913171,0.007913171,0.007913171,0.007913171,0.007913171,0.007913171
2022-04-26,Australia,Omicron 21K,0.007217957,0.007217957,0.007217957,0.007217957,0.007217957,0.007217957,0.007217957
2022-04-27,Australia,Omicron 21K,0.0065834015,0.0065834015,0.0065834015,0.0065834015,0.0065834015,0.0065834015,0.0065834015
2022-04-28,Australia,Omicron 21K,0.006004281,0.006004281,0.006004281,0.006004281,0.006004281,0.006004281,0.006004281
2022-04-29,Australia,Omicron 21K,0.005475813,0.005475813,0.005475813,0.005475813,0.005475813,0.005475813,0.005475813
2022-04-30,Australia,Omicron 21K,0.0049936147,0.0049936147,0.0049936147,0.0049936147,0.0049936147,0.0049936147,0.0049936147
2022-05-01,Australia,Omicron 21K,0.0045536715,0.0045536715,0.0045536715,0.0045536715,0.0045536715,0.0045536715,0.0045536715
2022-05-02,Australia,Omicron 21K,0.0041523236,0.0041523236,0.0041523236,0.0041523236,0.0041523236,0.0041523236,0.0041523236
2022-05-03,Australia,Omicron 21K,0.0037862076,0.0037862076,0.0037862076,0.0037862076,0.0037862076,0.0037862076,0.0037862076
2022-05-04,Australia,Omicron 21K,0.0034522559,0.0034522559,0.0034522559,0.0034522559,0.0034522559,0.0034522559,0.0034522559
2022-05-05,Australia,Omicron 21K,0.0031476612,0.0031476612,0.0031476612,0.0031476612,0.0031476612,0.0031476612,0.0031476612
2022-05-06,Australia,Omicron 21K,0.0028698596,0.0028698596,0.0028698596,0.0028698596,0.0028698596,0.0028698596,0.0028698596
2022-04-09,Australia,Omicron 22C,1.6540376e-05,1.6540376e-05,1.6540376e-05,1.6540376e-05,1.6540376e-05,1.6540376e-05,1.6540376e-05
2022-04-10,Australia,Omicron 22C,1.5451493e-05,1.5451493e-05,1.5451493e-05,1.5451493e-05,1.5451493e-05,1.5451493e-05,1.5451493e-05
2022-04-11,Australia,Omicron 22C,1.4430491e-05,1.4430491e-05,1.4430491e-05,1.4430491e-05,1.4430491e-05,1.4430491e-05,1.4430491e-05
2022-04-12,Australia,Omicron 22C,1.347371e-05,1.347371e-05,1.347371e-05,1.347371e-05,1.347371e-05,1.347371e-05,1.347371e-05
2022-04-13,Australia,Omicron 22C,1.2577602e-05,1.2577602e-05,1.2577602e-05,1.2577602e-05,1.2577602e-05,1.2577602e-05,1.2577602e-05
2022-04-14,Australia,Omicron 22C,1.1738716e-05,1.1738716e-05,1.1738716e-05,1.1738716e-05,1.1738716e-05,1.1738716e-05,1.1738716e-05
2022-04-15,Australia,Omicron 22C,1.09537405e-05,1.09537405e-05,1.09537405e-05,1.09537405e-05,1.09537405e-05,1.09537405e-05,1.09537405e-05
2022-04-16,Australia,Omicron 22C,1.0219522e-05,1.0219522e-05,1.0219522e-05,1.0219522e-05,1.0219522e-05,1.0219522e-05,1.0219522e-05
2022-04-17,Australia,Omicron 22C,9.533043e-06,9.533043e-06,9.533043e-06,9.533043e-06,9.533043e-06,9.533043e-06,9.533043e-06
2022-04-18,Australia,Omicron 22C,8.891411e-06,8.891411e-06,8.891411e-06,8.891411e-06,8.891411e-06,8.891411e-06,8.891411e-06
2022-04-19,Australia,Omicron 22C,8.291877e-06,8.291877e-06,8.291877e-06,8.291877e-06,8.291877e-06,8.291877e-06,8.291877e-06
2022-04-20,Australia,Omicron 22C,7.731846e-06,7.731846e-06,7.731846e-06,7.731846e-06,7.731846e-06,7.731846e-06,7.731846e-06
2022-04-21,Australia,Omicron 22C,7.2088615e-06,7.2088615e-06,7.2088615e-06,7.2088615e-06,7.2088615e-06,7.2088615e-06,7.2088615e-06
2022-04-22,Australia,Omicron 22C,6.7205747e-06,6.7205747e-06,6.7205747e-06,6.7205747e-06,6.7205747e-06,6.7205747e-06,6.7205747e-06
2022-04-23,Australia,Omicron 22C,6.26479e-06,6.26479e-06,6.26479e-06,6.26479e-06,6.26479e-06,6.26479e-06,6.26479e-06
2022-04-24,Australia,Omicron 22C,5.839435e-06,5.839435e-06,5.839435e-06,5.839435e-06,5.839435e-06,5.839435e-06,5.839435e-06
2022-04-25,Australia,Omicron 22C,5.4425445e-06,5.4425445e-06,5.4425445e-06,5.4425445e-06,5.4425445e-06,5.4425445e-06,5.4425445e-06
2022-04-26,Australia,Omicron 22C,5.072271e-06,5.072271e-06,5.072271e-06,5.072271e-06,5.072271e-06,5.072271e-06,5.072271e-06
2022-04-27,Australia,Omicron 22C,4.7268877e-06,4.7268877e-06,4.7268877e-06,4.7268877e-06,4.7268877e-06,4.7268877e-06,4.7268877e-06
2022-04-28,Australia,Omicron 22C,4.404769e-06,4.404769e-06,4.404769e-06,4.404769e-06,4.404769e-06,4.404769e-06,4.404769e-06
2022-04-29,Australia,Omicron 22C,4.104383e-06,4.104383e-06,4.104383e-06,4.104383e-06,4.104383e-06,4.104383e-06,4.104383e-06
2022-04-30,Australia,Omicron 22C,3.8242924e-06,3.8242924e-06,3.8242924e-06,3.8242924e-06,3.8242924e-06,3.8242924e-06,3.8242924e-06
2022-05-01,Australia,Omicron 22C,3.5631565e-06,3.5631565e-06,3.5631565e-06,3.5631565e-06,3.5631565e-06,3.5631565e-06,3.5631565e-06
2022-05-02,Australia,Omicron 22C,3.3197207e-06,3.3197207e-06,3.3197207e-06,3.3197207e-06,3.3197207e-06,3.3197207e-06,3.3197207e-06
2022-05-03,Australia,Omicron 22C,3.0928009e-06,3.0928009e-06,3.0928009e-06,3.0928009e-06,3.0928009e-06,3.0928009e-06,3.0928009e-06
2022-05-04,Australia,Omicron 22C,2.881289e-06,2.881289e-06,2.881289e-06,2.881289e-06,2.881289e-06,2.881289e-06,2.881289e-06
2022-05-05,Australia,Omicron 22C,2.684164e-06,2.684164e-06,2.684164e-06,2.684164e-06,2.684164e-06,2.684164e-06,2.684164e-06
2022-05-06,Australia,Omicron 22C,2.5004542e-06,2.5004542e-06,2.5004542e-06,2.5004542e-06,2.5004542e-06,2.5004542e-06,2.5004542e-06
2022-04-09,Australia,other,0.0021003026,0.0021003026,0.0021003026,0.0021003026,0.0021003026,0.0021003026,0.0021003026
2022-04-10,Australia,other,0.0020095885,0.0020095885,0.0020095885,0.0020095885,0.0020095885,0.0020095885,0.0020095885
