date,location,variant,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-04-30,USA,Delta,2.765285e-06,2.765285e-06,2.765285e-06,2.765285e-06,2.765285e-06,2.765285e-06,2.765285e-06
2022-05-01,USA,Delta,2.3724904e-06,2.3724904e-06,2.3724904e-06,2.3724904e-06,2.3724904e-06,2.3724904e-06,2.3724904e-06
2022-05-02,USA,Delta,2.0331695e-06,2.0331695e-06,2.0331695e-06,2.0331695e-06,2.0331695e-06,2.0331695e-06,2.0331695e-06
2022-05-03,USA,Delta,1.7403955e-06,1.7403955e-06,1.7403955e-06,1.7403955e-06,1.7403955e-06,1.7403955e-06,1.7403955e-06
2022-05-04,USA,Delta,1.4880828e-06,1.4880828e-06,1.4880828e-06,1.4880828e-06,1.4880828e-06,1.4880828e-06,1.4880828e-06
2022-05-05,USA,Delta,1.2709029e-06,1.2709029e-06,1.2709029e-06,1.2709029e-06,1.2709029e-06,1.2709029e-06,1.2709029e-06
2022-05-06,USA,Delta,1.084191e-06,1.084191e-06,1.084191e-06,1.084191e-06,1.084191e-06,1.084191e-06,1.084191e-06
2022-05-07,USA,Delta,9.2386296e-07,9.2386296e-07,9.2386296e-07,9.2386296e-07,9.2386296e-07,9.2386296e-07,9.2386296e-07
2022-05-08,USA,Delta,7.8635856e-07,7.8635856e-07,7.8635856e-07,7.8635856e-07,7.8635856e-07,7.8635856e-07,7.8635856e-07
2022-05-09,USA,Delta,6.68571e-07,6.68571e-07,6.68571e-07,6.68571e-07,6.68571e-07,6.68571e-07,6.68571e-07
2022-05-10,USA,Delta,5.6779476e-07,5.6779476e-07,5.6779476e-07,5.6779476e-07,5.6779476e-07,5.6779476e-07,5.6779476e-07
2022-05-11,USA,Delta,4.8167675e-07,4.8167675e-07,4.8167675e-07,4.8167675e-07,4.8167675e-07,4.8167675e-07,4.8167675e-07
2022-05-12,USA,Delta,4.08173e-07,4.08173e-07,4.08173e-07,4.08173e-07,4.08173e-07,4.08173e-07,4.08173e-07
2022-05-13,USA,Delta,3.4551078e-07,3.4551078e-07,3.4551078e-07,3.4551078e-07,3.4551078e-07,3.4551078e-07,3.4551078e-07
2022-05-14,USA,Delta,2.9215474e-07,2.9215474e-07,2.9215474e-07,2.9215474e-07,2.9215474e-07,2.9215474e-07,2.9215474e-07
2022-05-15,USA,Delta,2.467753e-07,2.467753e-07,2.467753e-07,2.467753e-07,2.467753e-07,2.467753e-07,2.467753e-07
2022-05-16,USA,Delta,2.0822546e-07,2.0822546e-07,2.0822546e-07,2.0822546e-07,2.0822546e-07,2.0822546e-07,2.0822546e-07
2022-05-17,USA,Delta,1.7551525e-07,1.7551525e-07,1.7551525e-07,1.7551525e-07,1.7551525e-07,1.7551525e-07,1.7551525e-07
2022-05-18,USA,Delta,1.477918e-07,1.477918e-07,1.477918e-07,1.477918e-07,1.477918e-07,1.477918e-07,1.477918e-07
2022-05-19,USA,Delta,1.2432149e-07,1.2432149e-07,1.2432149e-07,1.2432149e-07,1.2432149e-07,1.2432149e-07,1.2432149e-07
2022-05-20,USA,Delta,1.0447385e-07,1.0447385e-07,1.0447385e-07,1.0447385e-07,1.0447385e-07,1.0447385e-07,1.0447385e-07
2022-05-21,USA,Delta,8.770828e-08,8.770828e-08,8.770828e-08,8.770828e-08,8.770828e-08,8.770828e-08,8.770828e-08
2022-05-22,USA,Delta,7.356161e-08,7.356161e-08,7.356161e-08,7.356161e-08,7.356161e-08,7.356161e-08,7.356161e-08
2022-05-23,USA,Delta,6.163738e-08,6.163738e-08,6.163738e-08,6.163738e-08,6.163738e-08,6.163738e-08,6.163738e-08
2022-05-24,USA,Delta,5.1597098e-08,5.1597098e-08,5.1597098e-08,5.1597098e-08,5.1597098e-08,5.1597098e-08,5.1597098e-08
2022-05-25,USA,Delta,4.315196e-08,4.315196e-08,4.315196e-08,4.315196e-08,4.315196e-08,4.315196e-08,4.315196e-08
2022-05-26,USA,Delta,3.6055628e-08,3.6055628e-08,3.6055628e-08,3.6055628e-08,3.6055628e-08,3.6055628e-08,3.6055628e-08
2022-05-27,USA,Delta,3.009874e-08,3.009874e-08,3.009874e-08,3.009874e-08,3.009874e-08,3.009874e-08,3.009874e-08
2022-04-30,USA,Omicron 21K,0.006059514,0.006059514,0.006059514,0.006059514,0.006059514,0.006059514,0.006059514
2022-05-01,USA,Omicron 21K,0.0053153154,0.0053153154,0.0053153154,0.0053153154,0.0053153154,0.0053153154,0.0053153154
2022-05-02,USA,Omicron 21K,0.0046572,0.0046572,0.0046572,0.0046572,0.0046572,0.0046572,0.0046572
2022-05-03,USA,Omicron 21K,0.004075914,0.004075914,0.004075914,0.004075914,0.004075914,0.004075914,0.004075914
2022-05-04,USA,Omicron 21K,0.0035631238,0.0035631238,0.0035631238,0.0035631238,0.0035631238,0.0035631238,0.0035631238
2022-05-05,USA,Omicron 21K,0.003111307,0.003111307,0.003111307,0.003111307,0.003111307,0.003111307,0.003111307
2022-05-06,USA,Omicron 21K,0.0027137005,0.0027137005,0.0027137005,0.0027137005,0.0027137005,0.0027137005,0.0027137005
2022-05-07,USA,Omicron 21K,0.0023642334,0.0023642334,0.0023642334,0.0023642334,0.0023642334,0.0023642334,0.0023642334
2022-05-08,USA,Omicron 21K,0.0020574536,0.0020574536,0.0020574536,0.0020574536,0.0020574536,0.0020574536,0.0020574536
2022-05-09,USA,Omicron 21K,0.0017884766,0.0017884766,0.0017884766,0.0017884766,0.0017884766,0.0017884766,0.0017884766
2022-05-10,USA,Omicron 21K,0.001552937,0.001552937,0.001552937,0.001552937,0.001552937,0.001552937,0.001552937
2022-05-11,USA,Omicron 21K,0.001346928,0.001346928,0.001346928,0.001346928,0.001346928,0.001346928,0.001346928
2022-05-12,USA,Omicron 21K,0.0011669699,0.0011669699,0.0011669699,0.0011669699,0.0011669699,0.0011669699,0.0011669699
2022-05-13,USA,Omicron 21K,0.0010099588,0.0010099588,0.0010099588,0.0010099588,0.0010099588,0.0010099588,0.0010099588
2022-05-14,USA,Omicron 21K,0.000873133,0.000873133,0.000873133,0.000873133,0.000873133,0.000873133,0.000873133
2022-05-15,USA,Omicron 21K,0.00075404264,0.00075404264,0.00075404264,0.00075404264,0.00075404264,0.00075404264,0.00075404264
2022-05-16,USA,Omicron 21K,0.0006505111,0.0006505111,0.0006505111,0.0006505111,0.0006505111,0.0006505111,0.0006505111
2022-05-17,USA,Omicron 21K,0.0005606115,0.0005606115,0.0005606115,0.0005606115,0.0005606115,0.0005606115,0.0005606115
2022-05-18,USA,Omicron 21K,0.0004826409,0.0004826409,0.0004826409,0.0004826409,0.0004826409,0.0004826409,0.0004826409
2022-05-19,USA,Omicron 21K,0.000415094,0.000415094,0.000415094,0.000415094,0.000415094,0.000415094,0.000415094
2022-05-20,USA,Omicron 21K,0.00035664334,0.00035664334,0.00035664334,0.00035664334,0.00035664334,0.00035664334,0.00035664334
2022-05-21,USA,Omicron 21K,0.00030612148,0.00030612148,0.00030612148,0.00030612148,0.00030612148,0.00030612148,0.00030612148
2022-05-22,USA,Omicron 21K,0.00026250083,0.00026250083,0.00026250083,0.00026250083,0.00026250083,0.00026250083,0.00026250083
2022-05-23,USA,Omicron 21K,0.00022487942,0.00022487942,0.00022487942,0.00022487942,0.00022487942,0.00022487942,0.00022487942
2022-05-24,USA,Omicron 21K,0.00019246772,0.00019246772,0.00019246772,0.00019246772,0.00019246772,0.00019246772,0.00019246772
2022-05-25,USA,Omicron 21K,0.00016457301,0.00016457301,0.00016457301,0.00016457301,0.00016457301,0.00016457301,0.00016457301
2022-05-26,USA,Omicron 21K,0.00014059097,0.00014059097,0.00014059097,0.00014059097,0.00014059097,0.00014059097,0.00014059097
2022-05-27,USA,Omicron 21K,0.000119994074,0.000119994074,0.000119994074,0.000119994074,0.000119994074,0.000119994074,0.000119994074
2022-04-30,USA,Omicron 22A,0.0046210126,0.0046210126,0.0046210126,0.0046210126,0.0046210126,0.0046210126,0.0046210126
2022-05-01,USA,Omicron 22A,0.0051156464,0.0051156464,0.0051156464,0.0051156464,0.0051156464,0.0051156464,0.0051156464
2022-05-02,USA,Omicron 22A,0.005656769,0.005656769,0.005656769,0.005656769,0.005656769,0.005656769,0.005656769
2022-05-03,USA,Omicron 22A,0.006247995,0.006247995,0.006247995,0.006247995,0.006247995,0.006247995,0.006247995
2022-05-04,USA,Omicron 22A,0.0068931635,0.0068931635,0.0068931635,0.0068931635,0.0068931635,0.0068931635,0.0068931635
2022-05-05,USA,Omicron 22A,0.0075963014,0.0075963014,0.0075963014,0.0075963014,0.0075963014,0.0075963014,0.0075963014
2022-05-06,USA,Omicron 22A,0.008361684,0.008361684,0.008361684,0.008361684,0.008361684,0.008361684,0.008361684
2022-05-07,USA,Omicron 22A,0.009193784,0.009193784,0.009193784,0.009193784,0.009193784,0.009193784,0.009193784
2022-05-08,USA,Omicron 22A,0.010097309,0.010097309,0.010097309,0.010097309,0.010097309,0.010097309,0.010097309
2022-05-09,USA,Omicron 22A,0.0110772345,0.0110772345,0.0110772345,0.0110772345,0.0110772345,0.0110772345,0.0110772345
2022-05-10,USA,Omicron 22A,0.012138739,0.012138739,0.012138739,0.012138739,0.012138739,0.012138739,0.012138739
2022-05-11,USA,Omicron 22A,0.013287295,0.013287295,0.013287295,0.013287295,0.013287295,0.013287295,0.013287295
2022-05-12,USA,Omicron 22A,0.014528606,0.014528606,0.014528606,0.014528606,0.014528606,0.014528606,0.014528606
2022-05-13,USA,Omicron 22A,0.015868638,0.015868638,0.015868638,0.015868638,0.015868638,0.015868638,0.015868638
2022-05-14,USA,Omicron 22A,0.01731366,0.01731366,0.01731366,0.01731366,0.01731366,0.01731366,0.01731366
2022-05-15,USA,Omicron 22A,0.018870177,0.018870177,0.018870177,0.018870177,0.018870177,0.018870177,0.018870177
2022-05-16,USA,Omicron 22A,0.020545036,0.020545036,0.020545036,0.020545036,0.020545036,0.020545036,0.020545036
2022-05-17,USA,Omicron 22A,0.022345325,0.022345325,0.022345325,0.022345325,0.022345325,0.022345325,0.022345325
2022-05-18,USA,Omicron 22A,0.024278421,0.024278421,0.024278421,0.024278421,0.024278421,0.024278421,0.024278421
2022-05-19,USA,Omicron 22A,0.026352078,0.026352078,0.026352078,0.026352078,0.026352078,0.026352078,0.026352078
2022-05-20,USA,Omicron 22A,0.028574234,0.028574234,0.028574234,0.028574234,0.028574234,0.028574234,0.028574234
2022-05-21,USA,Omicron 22A,0.030953256,0.030953256,0.030953256,0.030953256,0.030953256,0.030953256,0.030953256
2022-05-22,USA,Omicron 22A,0.03349769,0.03349769,0.03349769,0.03349769,0.03349769,0.03349769,0.03349769
2022-05-23,USA,Omicron 22A,0.036216512,0.036216512,0.036216512,0.036216512,0.036216512,0.036216512,0.036216512
