date,location,variant,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-04-30,United Kingdom,Delta,4.3504286e-07,4.3504286e-07,4.3504286e-07,4.3504286e-07,4.3504286e-07,4.3504286e-07,4.3504286e-07
2022-05-01,United Kingdom,Delta,3.9068087e-07,3.9068087e-07,3.9068087e-07,3.9068087e-07,3.9068087e-07,3.9068087e-07,3.9068087e-07
2022-05-02,United Kingdom,Delta,3.5068163e-07,3.5068163e-07,3.5068163e-07,3.5068163e-07,3.5068163e-07,3.5068163e-07,3.5068163e-07
2022-05-03,United Kingdom,Delta,3.146141e-07,3.146141e-07,3.146141e-07,3.146141e-07,3.146141e-07,3.146141e-07,3.146141e-07
2022-05-04,United Kingdom,Delta,2.820874e-07,2.820874e-07,2.820874e-07,2.820874e-07,2.820874e-07,2.820874e-07,2.820874e-07
2022-05-05,United Kingdom,Delta,2.5275187e-07,2.5275187e-07,2.5275187e-07,2.5275187e-07,2.5275187e-07,2.5275187e-07,2.5275187e-07
2022-05-06,United Kingdom,Delta,2.2629082e-07,2.2629082e-07,2.2629082e-07,2.2629082e-07,2.2629082e-07,2.2629082e-07,2.2629082e-07
2022-05-07,United Kingdom,Delta,2.0242099e-07,2.0242099e-07,2.0242099e-07,2.0242099e-07,2.0242099e-07,2.0242099e-07,2.0242099e-07
2022-05-08,United Kingdom,Delta,1.808861e-07,1.808861e-07,1.808861e-07,1.808861e-07,1.808861e-07,1.808861e-07,1.808861e-07
2022-05-09,United Kingdom,Delta,1.6145695e-07,1.6145695e-07,1.6145695e-07,1.6145695e-07,1.6145695e-07,1.6145695e-07,1.6145695e-07
2022-05-10,United Kingdom,Delta,1.4392758e-07,1.4392758e-07,1.4392758e-07,1.4392758e-07,1.4392758e-07,1.4392758e-07,1.4392758e-07
2022-05-11,United Kingdom,Delta,1.2811222e-07,1.2811222e-07,1.2811222e-07,1.2811222e-07,1.2811222e-07,1.2811222e-07,1.2811222e-07
2022-05-12,United Kingdom,Delta,1.1384541e-07,1.1384541e-07,1.1384541e-07,1.1384541e-07,1.1384541e-07,1.1384541e-07,1.1384541e-07
2022-05-13,United Kingdom,Delta,1.0097799e-07,1.0097799e-07,1.0097799e-07,1.0097799e-07,1.0097799e-07,1.0097799e-07,1.0097799e-07
2022-05-14,United Kingdom,Delta,8.937728e-08,8.937728e-08,8.937728e-08,8.937728e-08,8.937728e-08,8.937728e-08,8.937728e-08
2022-05-15,United Kingdom,Delta,7.8923875e-08,7.8923875e-08,7.8923875e-08,7.8923875e-08,7.8923875e-08,7.8923875e-08,7.8923875e-08
2022-05-16,United Kingdom,Delta,6.95118e-08,6.95118e-08,6.95118e-08,6.95118e-08,6.95118e-08,6.95118e-08,6.95118e-08
2022-05-17,United Kingdom,Delta,6.104578e-08,6.104578e-08,6.104578e-08,6.104578e-08,6.104578e-08,6.104578e-08,6.104578e-08
2022-05-18,United Kingdom,Delta,5.3441212e-08,5.3441212e-08,5.3441212e-08,5.3441212e-08,5.3441212e-08,5.3441212e-08,5.3441212e-08
2022-05-19,United Kingdom,Delta,4.6621984e-08,4.6621984e-08,4.6621984e-08,4.6621984e-08,4.6621984e-08,4.6621984e-08,4.6621984e-08
2022-05-20,United Kingdom,Delta,4.0520227e-08,4.0520227e-08,4.0520227e-08,4.0520227e-08,4.0520227e-08,4.0520227e-08,4.0520227e-08
2022-05-21,United Kingdom,Delta,3.5074475e-08,3.5074475e-08,3.5074475e-08,3.5074475e-08,3.5074475e-08,3.5074475e-08,3.5074475e-08
2022-05-22,United Kingdom,Delta,3.0229305e-08,3.0229305e-08,3.0229305e-08,3.0229305e-08,3.0229305e-08,3.0229305e-08,3.0229305e-08
2022-05-23,United Kingdom,Delta,2.5934094e-08,2.5934094e-08,2.5934094e-08,2.5934094e-08,2.5934094e-08,2.5934094e-08,2.5934094e-08
2022-05-24,United Kingdom,Delta,2.2142064e-08,2.2142064e-08,2.2142064e-08,2.2142064e-08,2.2142064e-08,2.2142064e-08,2.2142064e-08
2022-05-25,United Kingdom,Delta,1.8809898e-08,1.8809898e-08,1.8809898e-08,1.8809898e-08,1.8809898e-08,1.8809898e-08,1.8809898e-08
2022-05-26,United Kingdom,Delta,1.5896774e-08,1.5896774e-08,1.5896774e-08,1.5896774e-08,1.5896774e-08,1.5896774e-08,1.5896774e-08
2022-05-27,United Kingdom,Delta,1.3364228e-08,1.3364228e-08,1.3364228e-08,1.3364228e-08,1.3364228e-08,1.3364228e-08,1.3364228e-08
2022-04-30,United Kingdom,Omicron 21K,0.0012304429,0.0012304429,0.0012304429,0.0012304429,0.0012304429,0.0012304429,0.0012304429
2022-05-01,United Kingdom,Omicron 21K,0.001113381,0.001113381,0.001113381,0.001113381,0.001113381,0.001113381,0.001113381
2022-05-02,United Kingdom,Omicron 21K,0.0010069961,0.0010069961,0.0010069961,0.0010069961,0.0010069961,0.0010069961,0.0010069961
2022-05-03,United Kingdom,Omicron 21K,0.0009103015,0.0009103015,0.0009103015,0.0009103015,0.0009103015,0.0009103015,0.0009103015
2022-05-04,United Kingdom,Omicron 21K,0.00082240143,0.00082240143,0.00082240143,0.00082240143,0.00082240143,0.00082240143,0.00082240143
2022-05-05,United Kingdom,Omicron 21K,0.0007424836,0.0007424836,0.0007424836,0.0007424836,0.0007424836,0.0007424836,0.0007424836
2022-05-06,United Kingdom,Omicron 21K,0.0006698113,0.0006698113,0.0006698113,0.0006698113,0.0006698113,0.0006698113,0.0006698113
2022-05-07,United Kingdom,Omicron 21K,0.000603717,0.000603717,0.000603717,0.000603717,0.000603717,0.000603717,0.000603717
2022-05-08,United Kingdom,Omicron 21K,0.0005435959,0.0005435959,0.0005435959,0.0005435959,0.0005435959,0.0005435959,0.0005435959
2022-05-09,United Kingdom,Omicron 21K,0.0004889009,0.0004889009,0.0004889009,0.0004889009,0.0004889009,0.0004889009,0.0004889009
2022-05-10,United Kingdom,Omicron 21K,0.00043913734,0.00043913734,0.00043913734,0.00043913734,0.00043913734,0.00043913734,0.00043913734
2022-05-11,United Kingdom,Omicron 21K,0.0003938583,0.0003938583,0.0003938583,0.0003938583,0.0003938583,0.0003938583,0.0003938583
2022-05-12,United Kingdom,Omicron 21K,0.0003526609,0.0003526609,0.0003526609,0.0003526609,0.0003526609,0.0003526609,0.0003526609
2022-05-13,United Kingdom,Omicron 21K,0.00031518214,0.00031518214,0.00031518214,0.00031518214,0.00031518214,0.00031518214,0.00031518214
2022-05-14,United Kingdom,Omicron 21K,0.00028109574,0.00028109574,0.00028109574,0.00028109574,0.00028109574,0.00028109574,0.00028109574
2022-05-15,United Kingdom,Omicron 21K,0.00025010863,0.00025010863,0.00025010863,0.00025010863,0.00025010863,0.00025010863,0.00025010863
2022-05-16,United Kingdom,Omicron 21K,0.00022195815,0.00022195815,0.00022195815,0.00022195815,0.00022195815,0.00022195815,0.00022195815
2022-05-17,United Kingdom,Omicron 21K,0.00019640915,0.00019640915,0.00019640915,0.00019640915,0.00019640915,0.00019640915,0.00019640915
2022-05-18,United Kingdom,Omicron 21K,0.00017325055,0.00017325055,0.00017325055,0.00017325055,0.00017325055,0.00017325055,0.00017325055
2022-05-19,United Kingdom,Omicron 21K,0.0001522938,0.0001522938,0.0001522938,0.0001522938,0.0001522938,0.0001522938,0.0001522938
2022-05-20,United Kingdom,Omicron 21K,0.0001333692,0.0001333692,0.0001333692,0.0001333692,0.0001333692,0.0001333692,0.0001333692
2022-05-21,United Kingdom,Omicron 21K,0.000116323645,0.000116323645,0.000116323645,0.000116323645,0.000116323645,0.000116323645,0.000116323645
2022-05-22,United Kingdom,Omicron 21K,0.00010101785,0.00010101785,0.00010101785,0.00010101785,0.00010101785,0.00010101785,0.00010101785
2022-05-23,United Kingdom,Omicron 21K,8.732393e-05,8.732393e-05,8.732393e-05,8.732393e-05,8.732393e-05,8.732393e-05,8.732393e-05
2022-05-24,United Kingdom,Omicron 21K,7.51231e-05,7.51231e-05,7.51231e-05,7.51231e-05,7.51231e-05,7.51231e-05,7.51231e-05
2022-05-25,United Kingdom,Omicron 21K,6.4303415e-05,6.4303415e-05,6.4303415e-05,6.4303415e-05,6.4303415e-05,6.4303415e-05,6.4303415e-05
2022-05-26,United Kingdom,Omicron 21K,5.4758268e-05,5.4758268e-05,5.4758268e-05,5.4758268e-05,5.4758268e-05,5.4758268e-05,5.4758268e-05
2022-05-27,United Kingdom,Omicron 21K,4.6384925e-05,4.6384925e-05,4.6384925e-05,4.6384925e-05,4.6384925e-05,4.6384925e-05,4.6384925e-05
2022-04-30,United Kingdom,Omicron 22A,0.0038892298,0.0038892298,0.0038892298,0.0038892298,0.0038892298,0.0038892298,0.0038892298
2022-05-01,United Kingdom,Omicron 22A,0.0043968144,0.0043968144,0.0043968144,0.0043968144,0.0043968144,0.0043968144,0.0043968144
2022-05-02,United Kingdom,Omicron 22A,0.0049683787,0.0049683787,0.0049683787,0.0049683787,0.0049683787,0.0049683787,0.0049683787
2022-05-03,United Kingdom,Omicron 22A,0.0056113107,0.0056113107,0.0056113107,0.0056113107,0.0056113107,0.0056113107,0.0056113107
2022-05-04,United Kingdom,Omicron 22A,0.006333665,0.006333665,0.006333665,0.006333665,0.006333665,0.006333665,0.006333665
2022-05-05,United Kingdom,Omicron 22A,0.0071441443,0.0071441443,0.0071441443,0.0071441443,0.0071441443,0.0071441443,0.0071441443
2022-05-06,United Kingdom,Omicron 22A,0.00805208,0.00805208,0.00805208,0.00805208,0.00805208,0.00805208,0.00805208
2022-05-07,United Kingdom,Omicron 22A,0.009067374,0.009067374,0.009067374,0.009067374,0.009067374,0.009067374,0.009067374
2022-05-08,United Kingdom,Omicron 22A,0.010200383,0.010200383,0.010200383,0.010200383,0.010200383,0.010200383,0.010200383
2022-05-09,United Kingdom,Omicron 22A,0.011461813,0.011461813,0.011461813,0.011461813,0.011461813,0.011461813,0.011461813
2022-05-10,United Kingdom,Omicron 22A,0.012862489,0.012862489,0.012862489,0.012862489,0.012862489,0.012862489,0.012862489
2022-05-11,United Kingdom,Omicron 22A,0.014413095,0.014413095,0.014413095,0.014413095,0.014413095,0.014413095,0.014413095
2022-05-12,United Kingdom,Omicron 22A,0.016123774,0.016123774,0.016123774,0.016123774,0.016123774,0.016123774,0.016123774
2022-05-13,United Kingdom,Omicron 22A,0.018003758,0.018003758,0.018003758,0.018003758,0.018003758,0.018003758,0.018003758
