date,location,variant,median_freq_nowcast,freq_nowcast_upper_95,freq_lower_95,freq_upper_80,freq_lower_80,freq_upper_50,freq_lower_50,median_freq_forecast,freq_forecast_upper_95,freq_forecast_lower_95,freq_forecast_upper_80,freq_forecast_lower_80,freq_forecast_upper_50,freq_forecast_lower_50
2022-04-23,USA,Delta,4.6334295e-05,4.6334295e-05,4.6334295e-05,4.6334295e-05,4.6334295e-05,4.6334295e-05,4.6334295e-05,,,,,,,
2022-04-24,USA,Delta,4.159924e-05,4.159924e-05,4.159924e-05,4.159924e-05,4.159924e-05,4.159924e-05,4.159924e-05,,,,,,,
2022-04-25,USA,Delta,3.7311154e-05,3.7311154e-05,3.7311154e-05,3.7311154e-05,3.7311154e-05,3.7311154e-05,3.7311154e-05,,,,,,,
2022-04-26,USA,Delta,3.3431985e-05,3.3431985e-05,3.3431985e-05,3.3431985e-05,3.3431985e-05,3.3431985e-05,3.3431985e-05,,,,,,,
2022-04-27,USA,Delta,2.9926421e-05,2.9926421e-05,2.9926421e-05,2.9926421e-05,2.9926421e-05,2.9926421e-05,2.9926421e-05,,,,,,,
2022-04-28,USA,Delta,2.6761782e-05,2.6761782e-05,2.6761782e-05,2.6761782e-05,2.6761782e-05,2.6761782e-05,2.6761782e-05,,,,,,,
2022-04-29,USA,Delta,2.3907882e-05,2.3907882e-05,2.3907882e-05,2.3907882e-05,2.3907882e-05,2.3907882e-05,2.3907882e-05,,,,,,,
2022-04-30,USA,Delta,2.1336855e-05,2.1336855e-05,2.1336855e-05,2.1336855e-05,2.1336855e-05,2.1336855e-05,2.1336855e-05,,,,,,,
2022-05-01,USA,Delta,1.9023062e-05,1.9023062e-05,1.9023062e-05,1.9023062e-05,1.9023062e-05,1.9023062e-05,1.9023062e-05,,,,,,,
2022-05-02,USA,Delta,1.6942913e-05,1.6942913e-05,1.6942913e-05,1.6942913e-05,1.6942913e-05,1.6942913e-05,1.6942913e-05,,,,,,,
2022-05-03,USA,Delta,1.507474e-05,1.507474e-05,1.507474e-05,1.507474e-05,1.507474e-05,1.507474e-05,1.507474e-05,,,,,,,
2022-05-04,USA,Delta,1.3398682e-05,1.3398682e-05,1.3398682e-05,1.3398682e-05,1.3398682e-05,1.3398682e-05,1.3398682e-05,,,,,,,
2022-05-05,USA,Delta,1.1896544e-05,1.1896544e-05,1.1896544e-05,1.1896544e-05,1.1896544e-05,1.1896544e-05,1.1896544e-05,,,,,,,
2022-05-06,USA,Delta,1.0551675e-05,1.0551675e-05,1.0551675e-05,1.0551675e-05,1.0551675e-05,1.0551675e-05,1.0551675e-05,,,,,,,
2022-04-23,USA,Omicron 21K,0.01628586,0.01628586,0.01628586,0.01628586,0.01628586,0.01628586,0.01628586,,,,,,,
2022-04-24,USA,Omicron 21K,0.014480228,0.014480228,0.014480228,0.014480228,0.014480228,0.014480228,0.014480228,,,,,,,
2022-04-25,USA,Omicron 21K,0.012862105,0.012862105,0.012862105,0.012862105,0.012862105,0.012862105,0.012862105,,,,,,,
2022-04-26,USA,Omicron 21K,0.01141354,0.01141354,0.01141354,0.01141354,0.01141354,0.01141354,0.01141354,,,,,,,
2022-04-27,USA,Omicron 21K,0.010118107,0.010118107,0.010118107,0.010118107,0.010118107,0.010118107,0.010118107,,,,,,,
2022-04-28,USA,Omicron 21K,0.008960812,0.008960812,0.008960812,0.008960812,0.008960812,0.008960812,0.008960812,,,,,,,
2022-04-29,USA,Omicron 21K,0.007927983,0.007927983,0.007927983,0.007927983,0.007927983,0.007927983,0.007927983,,,,,,,
2022-04-30,USA,Omicron 21K,0.0070071737,0.0070071737,0.0070071737,0.0070071737,0.0070071737,0.0070071737,0.0070071737,,,,,,,
2022-05-01,USA,Omicron 21K,0.006187074,0.006187074,0.006187074,0.006187074,0.006187074,0.006187074,0.006187074,,,,,,,
2022-05-02,USA,Omicron 21K,0.005457412,0.005457412,0.005457412,0.005457412,0.005457412,0.005457412,0.005457412,,,,,,,
2022-05-03,USA,Omicron 21K,0.00480888,0.00480888,0.00480888,0.00480888,0.00480888,0.00480888,0.00480888,,,,,,,
2022-05-04,USA,Omicron 21K,0.0042330474,0.0042330474,0.0042330474,0.0042330474,0.0042330474,0.0042330474,0.0042330474,,,,,,,
2022-05-05,USA,Omicron 21K,0.0037222907,0.0037222907,0.0037222907,0.0037222907,0.0037222907,0.0037222907,0.0037222907,,,,,,,
2022-05-06,USA,Omicron 21K,0.0032697225,0.0032697225,0.0032697225,0.0032697225,0.0032697225,0.0032697225,0.0032697225,,,,,,,
2022-04-23,USA,Omicron 22A,0.0017715995,0.0017715995,0.0017715995,0.0017715995,0.0017715995,0.0017715995,0.0017715995,,,,,,,
2022-04-24,USA,Omicron 22A,0.00197533,0.00197533,0.00197533,0.00197533,0.00197533,0.00197533,0.00197533,,,,,,,
2022-04-25,USA,Omicron 22A,0.0022001448,0.0022001448,0.0022001448,0.0022001448,0.0022001448,0.0022001448,0.0022001448,,,,,,,
2022-04-26,USA,Omicron 22A,0.0024479365,0.0024479365,0.0024479365,0.0024479365,0.0024479365,0.0024479365,0.0024479365,,,,,,,
2022-04-27,USA,Omicron 22A,0.0027207285,0.0027207285,0.0027207285,0.0027207285,0.0027207285,0.0027207285,0.0027207285,,,,,,,
2022-04-28,USA,Omicron 22A,0.003020682,0.003020682,0.003020682,0.003020682,0.003020682,0.003020682,0.003020682,,,,,,,
2022-04-29,USA,Omicron 22A,0.003350099,0.003350099,0.003350099,0.003350099,0.003350099,0.003350099,0.003350099,,,,,,,
2022-04-30,USA,Omicron 22A,0.0037114238,0.0037114238,0.0037114238,0.0037114238,0.0037114238,0.0037114238,0.0037114238,,,,,,,
2022-05-01,USA,Omicron 22A,0.0041072466,0.0041072466,0.0041072466,0.0041072466,0.0041072466,0.0041072466,0.0041072466,,,,,,,
2022-05-02,USA,Omicron 22A,0.004540308,0.004540308,0.004540308,0.004540308,0.004540308,0.004540308,0.004540308,,,,,,,
2022-05-03,USA,Omicron 22A,0.0050134924,0.0050134924,0.0050134924,0.0050134924,0.0050134924,0.0050134924,0.0050134924,,,,,,,
2022-05-04,USA,Omicron 22A,0.0055298326,0.0055298326,0.0055298326,0.0055298326,0.0055298326,0.0055298326,0.0055298326,,,,,,,
2022-05-05,USA,Omicron 22A,0.006092506,0.006092506,0.006092506,0.006092506,0.006092506,0.006092506,0.006092506,,,,,,,
2022-05-06,USA,Omicron 22A,0.006704827,0.006704827,0.006704827,0.006704827,0.006704827,0.006704827,0.006704827,,,,,,,
2022-04-23,USA,Omicron 22B,0.0009491064,0.0009491064,0.0009491064,0.0009491064,0.0009491064,0.0009491064,0.0009491064,,,,,,,
2022-04-24,USA,Omicron 22B,0.0011075045,0.0011075045,0.0011075045,0.0011075045,0.0011075045,0.0011075045,0.0011075045,,,,,,,
2022-04-25,USA,Omicron 22B,0.001290942,0.001290942,0.001290942,0.001290942,0.001290942,0.001290942,0.001290942,,,,,,,
2022-04-26,USA,Omicron 22B,0.0015031361,0.0015031361,0.0015031361,0.0015031361,0.0015031361,0.0015031361,0.0015031361,,,,,,,
2022-04-27,USA,Omicron 22B,0.001748314,0.001748314,0.001748314,0.001748314,0.001748314,0.001748314,0.001748314,,,,,,,
2022-04-28,USA,Omicron 22B,0.0020312737,0.0020312737,0.0020312737,0.0020312737,0.0020312737,0.0020312737,0.0020312737,,,,,,,
2022-04-29,USA,Omicron 22B,0.0023574552,0.0023574552,0.0023574552,0.0023574552,0.0023574552,0.0023574552,0.0023574552,,,,,,,
2022-04-30,USA,Omicron 22B,0.0027330138,0.0027330138,0.0027330138,0.0027330138,0.0027330138,0.0027330138,0.0027330138,,,,,,,
2022-05-01,USA,Omicron 22B,0.0031649056,0.0031649056,0.0031649056,0.0031649056,0.0031649056,0.0031649056,0.0031649056,,,,,,,
2022-05-02,USA,Omicron 22B,0.0036609771,0.0036609771,0.0036609771,0.0036609771,0.0036609771,0.0036609771,0.0036609771,,,,,,,
2022-05-03,USA,Omicron 22B,0.004230063,0.004230063,0.004230063,0.004230063,0.004230063,0.004230063,0.004230063,,,,,,,
2022-05-04,USA,Omicron 22B,0.0048820954,0.0048820954,0.0048820954,0.0048820954,0.0048820954,0.0048820954,0.0048820954,,,,,,,
2022-05-05,USA,Omicron 22B,0.0056282193,0.0056282193,0.0056282193,0.0056282193,0.0056282193,0.0056282193,0.0056282193,,,,,,,
2022-05-06,USA,Omicron 22B,0.006480913,0.006480913,0.006480913,0.006480913,0.006480913,0.006480913,0.006480913,,,,,,,
2022-04-23,USA,Omicron 22C,0.3114598,0.3114598,0.3114598,0.3114598,0.3114598,0.3114598,0.3114598,,,,,,,
2022-04-24,USA,Omicron 22C,0.32473645,0.32473645,0.32473645,0.32473645,0.32473645,0.32473645,0.32473645,,,,,,,
2022-04-25,USA,Omicron 22C,0.33822656,0.33822656,0.33822656,0.33822656,0.33822656,0.33822656,0.33822656,,,,,,,
2022-04-26,USA,Omicron 22C,0.3519101,0.3519101,0.3519101,0.3519101,0.3519101,0.3519101,0.3519101,,,,,,,
2022-04-27,USA,Omicron 22C,0.36576498,0.36576498,0.36576498,0.36576498,0.36576498,0.36576498,0.36576498,,,,,,,
2022-04-28,USA,Omicron 22C,0.37976712,0.37976712,0.37976712,0.37976712,0.37976712,0.37976712,0.37976712,,,,,,,
2022-04-29,USA,Omicron 22C,0.39389044,0.39389044,0.39389044,0.39389044,0.39389044,0.39389044,0.39389044,,,,,,,
2022-04-30,USA,Omicron 22C,0.40810695,0.40810695,0.40810695,0.40810695,0.40810695,0.40810695,0.40810695,,,,,,,
2022-05-01,USA,Omicron 22C,0.42238662,0.42238662,0.42238662,0.42238662,0.42238662,0.42238662,0.42238662,,,,,,,
2022-05-02,USA,Omicron 22C,0.43669763,0.43669763,0.43669763,0.43669763,0.43669763,0.43669763,0.43669763,,,,,,,
2022-05-03,USA,Omicron 22C,0.45100597,0.45100597,0.45100597,0.45100597,0.45100597,0.45100597,0.45100597,,,,,,,
2022-05-04,USA,Omicron 22C,0.46527612,0.46527612,0.46527612,0.46527612,0.46527612,0.46527612,0.46527612,,,,,,,
2022-05-05,USA,Omicron 22C,0.47947076,0.47947076,0.47947076,0.47947076,0.47947076,0.47947076,0.47947076,,,,,,,
2022-05-06,USA,Omicron 22C,0.49355048,0.49355048,0.49355048,0.49355048,0.49355048,0.49355048,0.49355048,,,,,,,
2022-04-23,USA,other,0.00416564,0.00416564,0.00416564,0.00416564,0.00416564,0.00416564,0.00416564,,,,,,,
2022-04-24,USA,other,0.003990758,0.003990758,0.003990758,0.003990758,0.003990758,0.003990758,0.003990758,,,,,,,
2022-04-25,USA,other,0.0038193513,0.0038193513,0.0038193513,0.0038193513,0.0038193513,0.0038193513,0.0038193513,,,,,,,
2022-04-26,USA,other,0.003651606,0.003651606,0.003651606,0.003651606,0.003651606,0.003651606,0.003651606,,,,,,,
2022-04-27,USA,other,0.0034876876,0.0034876876,0.0034876876,0.0034876876,0.0034876876,0.0034876876,0.0034876876,,,,,,,
2022-04-28,USA,other,0.003327736,0.003327736,0.003327736,0.003327736,0.003327736,0.003327736,0.003327736,,,,,,,
2022-04-29,USA,other,0.003171874,0.003171874,0.003171874,0.003171874,0.003171874,0.003171874,0.003171874,,,,,,,
2022-04-30,USA,other,0.0030202044,0.0030202044,0.0030202044,0.0030202044,0.0030202044,0.0030202044,0.0030202044,,,,,,,
2022-05-01,USA,other,0.002872813,0.002872813,0.002872813,0.002872813,0.002872813,0.002872813,0.002872813,,,,,,,
2022-05-02,USA,other,0.0027297693,0.0027297693,0.0027297693,0.0027297693,0.0027297693,0.0027297693,0.0027297693,,,,,,,
2022-05-03,USA,other,0.0025911254,0.0025911254,0.0025911254,0.0025911254,0.0025911254,0.0025911254,0.0025911254,,,,,,,
2022-05-04,USA,other,0.0024569214,0.0024569214,0.0024569214,0.0024569214,0.0024569214,0.0024569214,0.0024569214,,,,,,,
2022-05-05,USA,other,0.002327181,0.002327181,0.002327181,0.002327181,0.002327181,0.002327181,0.002327181,,,,,,,
2022-05-06,USA,other,0.0022019155,0.0022019155,0.0022019155,0.0022019155,0.0022019155,0.0022019155,0.0022019155,,,,,,,
2022-04-23,USA,Omicron 21L,0.66532165,0.66532165,0.66532165,0.66532165,0.66532165,0.66532165,0.66532165,,,,,,,
2022-04-24,USA,Omicron 21L,0.6536682,0.6536682,0.6536682,0.6536682,0.6536682,0.6536682,0.6536682,,,,,,,
2022-04-25,USA,Omicron 21L,0.6415636,0.6415636,0.6415636,0.6415636,0.6415636,0.6415636,0.6415636,,,,,,,
2022-04-26,USA,Omicron 21L,0.6290403,0.6290403,0.6290403,0.6290403,0.6290403,0.6290403,0.6290403,,,,,,,
2022-04-27,USA,Omicron 21L,0.61613023,0.61613023,0.61613023,0.61613023,0.61613023,0.61613023,0.61613023,,,,,,,
2022-04-28,USA,Omicron 21L,0.6028656,0.6028656,0.6028656,0.6028656,0.6028656,0.6028656,0.6028656,,,,,,,
2022-04-29,USA,Omicron 21L,0.5892783,0.5892783,0.5892783,0.5892783,0.5892783,0.5892783,0.5892783,,,,,,,
2022-04-30,USA,Omicron 21L,0.5753999,0.5753999,0.5753999,0.5753999,0.5753999,0.5753999,0.5753999,,,,,,,
2022-05-01,USA,Omicron 21L,0.5612623,0.5612623,0.5612623,0.5612623,0.5612623,0.5612623,0.5612623,,,,,,,
2022-05-02,USA,Omicron 21L,0.546897,0.546897,0.546897,0.546897,0.546897,0.546897,0.546897,,,,,,,
2022-05-03,USA,Omicron 21L,0.53233534,0.53233534,0.53233534,0.53233534,0.53233534,0.53233534,0.53233534,,,,,,,
2022-05-04,USA,Omicron 21L,0.5176086,0.5176086,0.5176086,0.5176086,0.5176086,0.5176086,0.5176086,,,,,,,
2022-05-05,USA,Omicron 21L,0.50274724,0.50274724,0.50274724,0.50274724,0.50274724,0.50274724,0.50274724,,,,,,,
2022-05-06,USA,Omicron 21L,0.48778158,0.48778158,0.48778158,0.48778158,0.48778158,0.48778158,0.48778158,,,,,,,
2022-05-07,USA,Delta,,,,,,,,9.348873e-06,9.348873e-06,9.348873e-06,9.348873e-06,9.348873e-06,9.348873e-06,9.348873e-06
2022-05-08,USA,Delta,,,,,,,,8.274257e-06,8.274257e-06,8.274257e-06,8.274257e-06,8.274257e-06,8.274257e-06,8.274257e-06
2022-05-09,USA,Delta,,,,,,,,7.3151778e-06,7.3151778e-06,7.3151778e-06,7.3151778e-06,7.3151778e-06,7.3151778e-06,7.3151778e-06
2022-05-10,USA,Delta,,,,,,,,6.460119e-06,6.460119e-06,6.460119e-06,6.460119e-06,6.460119e-06,6.460119e-06,6.460119e-06
2022-05-11,USA,Delta,,,,,,,,5.6986105e-06,5.6986105e-06,5.6986105e-06,5.6986105e-06,5.6986105e-06,5.6986105e-06,5.6986105e-06
2022-05-12,USA,Delta,,,,,,,,5.021143e-06,5.021143e-06,5.021143e-06,5.021143e-06,5.021143e-06,5.021143e-06,5.021143e-06
2022-05-13,USA,Delta,,,,,,,,4.4190856e-06,4.4190856e-06,4.4190856e-06,4.4190856e-06,4.4190856e-06,4.4190856e-06,4.4190856e-06
2022-05-14,USA,Delta,,,,,,,,3.8846247e-06,3.8846247e-06,3.8846247e-06,3.8846247e-06,3.8846247e-06,3.8846247e-06,3.8846247e-06
2022-05-15,USA,Delta,,,,,,,,3.4106881e-06,3.4106881e-06,3.4106881e-06,3.4106881e-06,3.4106881e-06,3.4106881e-06,3.4106881e-06
2022-05-16,USA,Delta,,,,,,,,2.9908808e-06,2.9908808e-06,2.9908808e-06,2.9908808e-06,2.9908808e-06,2.9908808e-06,2.9908808e-06
2022-05-17,USA,Delta,,,,,,,,2.619431e-06,2.619431e-06,2.619431e-06,2.619431e-06,2.619431e-06,2.619431e-06,2.619431e-06
2022-05-18,USA,Delta,,,,,,,,2.2911363e-06,2.2911363e-06,2.2911363e-06,2.2911363e-06,2.2911363e-06,2.2911363e-06,2.2911363e-06
2022-05-19,USA,Delta,,,,,,,,2.0013115e-06,2.0013115e-06,2.0013115e-06,2.0013115e-06,2.0013115e-06,2.0013115e-06,2.0013115e-06
2022-05-20,USA,Delta,,,,,,,,1.7457405e-06,1.7457405e-06,1.7457405e-06,1.7457405e-06,1.7457405e-06,1.7457405e-06,1.7457405e-06
2022-05-21,USA,Delta,,,,,,,,1.520639e-06,1.520639e-06,1.520639e-06,1.520639e-06,1.520639e-06,1.520639e-06,1.520639e-06
2022-05-22,USA,Delta,,,,,,,,1.3226099e-06,1.3226099e-06,1.3226099e-06,1.3226099e-06,1.3226099e-06,1.3226099e-06,1.3226099e-06
2022-05-23,USA,Delta,,,,,,,,1.1486095e-06,1.1486095e-06,1.1486095e-06,1.1486095e-06,1.1486095e-06,1.1486095e-06,1.1486095e-06
2022-05-24,USA,Delta,,,,,,,,9.959138e-07,9.959138e-07,9.959138e-07,9.959138e-07,9.959138e-07,9.959138e-07,9.959138e-07
2022-05-25,USA,Delta,,,,,,,,8.620873e-07,8.620873e-07,8.620873e-07,8.620873e-07,8.620873e-07,8.620873e-07,8.620873e-07
2022-05-26,USA,Delta,,,,,,,,7.44955e-07,7.44955e-07,7.44955e-07,7.44955e-07,7.44955e-07,7.44955e-07,7.44955e-07
2022-05-27,USA,Delta,,,,,,,,6.4257773e-07,6.4257773e-07,6.4257773e-07,6.4257773e-07,6.4257773e-07,6.4257773e-07,6.4257773e-07
2022-05-28,USA,Delta,,,,,,,,5.532266e-07,5.532266e-07,5.532266e-07,5.532266e-07,5.532266e-07,5.532266e-07,5.532266e-07
2022-05-29,USA,Delta,,,,,,,,4.753632e-07,4.753632e-07,4.753632e-07,4.753632e-07,4.753632e-07,4.753632e-07,4.753632e-07
2022-05-30,USA,Delta,,,,,,,,4.0761967e-07,4.0761967e-07,4.0761967e-07,4.0761967e-07,4.0761967e-07,4.0761967e-07,4.0761967e-07
2022-05-31,USA,Delta,,,,,,,,3.4878056e-07,3.4878056e-07,3.4878056e-07,3.4878056e-07,3.4878056e-07,3.4878056e-07,3.4878056e-07
2022-06-01,USA,Delta,,,,,,,,2.9776714e-07,2.9776714e-07,2.9776714e-07,2.9776714e-07,2.9776714e-07,2.9776714e-07,2.9776714e-07
2022-06-02,USA,Delta,,,,,,,,2.5362255e-07,2.5362255e-07,2.5362255e-07,2.5362255e-07,2.5362255e-07,2.5362255e-07,2.5362255e-07
2022-06-03,USA,Delta,,,,,,,,2.1549896e-07,2.1549896e-07,2.1549896e-07,2.1549896e-07,2.1549896e-07,2.1549896e-07,2.1549896e-07
2022-05-07,USA,Omicron 21K,,,,,,,,0.002869131,0.002869131,0.002869131,0.002869131,0.002869131,0.002869131,0.002869131
2022-05-08,USA,Omicron 21K,,,,,,,,0.0025149153,0.0025149153,0.0025149153,0.0025149153,0.0025149153,0.0025149153,0.0025149153
2022-05-09,USA,Omicron 21K,,,,,,,,0.0022020338,0.0022020338,0.0022020338,0.0022020338,0.0022020338,0.0022020338,0.0022020338
2022-05-10,USA,Omicron 21K,,,,,,,,0.001925955,0.001925955,0.001925955,0.001925955,0.001925955,0.001925955,0.001925955
2022-05-11,USA,Omicron 21K,,,,,,,,0.0016826069,0.0016826069,0.0016826069,0.0016826069,0.0016826069,0.0016826069,0.0016826069
2022-05-12,USA,Omicron 21K,,,,,,,,0.0014683376,0.0014683376,0.0014683376,0.0014683376,0.0014683376,0.0014683376,0.0014683376
2022-05-13,USA,Omicron 21K,,,,,,,,0.0012798742,0.0012798742,0.0012798742,0.0012798742,0.0012798742,0.0012798742,0.0012798742
2022-05-14,USA,Omicron 21K,,,,,,,,0.0011142871,0.0011142871,0.0011142871,0.0011142871,0.0011142871,0.0011142871,0.0011142871
2022-05-15,USA,Omicron 21K,,,,,,,,0.00096895796,0.00096895796,0.00096895796,0.00096895796,0.00096895796,0.00096895796,0.00096895796
2022-05-16,USA,Omicron 21K,,,,,,,,0.00084154744,0.00084154744,0.00084154744,0.00084154744,0.00084154744,0.00084154744,0.00084154744
2022-05-17,USA,Omicron 21K,,,,,,,,0.00072996994,0.00072996994,0.00072996994,0.00072996994,0.00072996994,0.00072996994,0.00072996994
2022-05-18,USA,Omicron 21K,,,,,,,,0.0006323672,0.0006323672,0.0006323672,0.0006323672,0.0006323672,0.0006323672,0.0006323672
2022-05-19,USA,Omicron 21K,,,,,,,,0.00054708566,0.00054708566,0.00054708566,0.00054708566,0.00054708566,0.00054708566,0.00054708566
2022-05-20,USA,Omicron 21K,,,,,,,,0.0004726553,0.0004726553,0.0004726553,0.0004726553,0.0004726553,0.0004726553,0.0004726553
2022-05-21,USA,Omicron 21K,,,,,,,,0.0004077718,0.0004077718,0.0004077718,0.0004077718,0.0004077718,0.0004077718,0.0004077718
2022-05-22,USA,Omicron 21K,,,,,,,,0.00035127808,0.00035127808,0.00035127808,0.00035127808,0.00035127808,0.00035127808,0.00035127808
2022-05-23,USA,Omicron 21K,,,,,,,,0.00030214968,0.00030214968,0.00030214968,0.00030214968,0.00030214968,0.00030214968,0.00030214968
2022-05-24,USA,Omicron 21K,,,,,,,,0.00025948006,0.00025948006,0.00025948006,0.00025948006,0.00025948006,0.00025948006,0.00025948006
